團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
台灣兩岸醫療事務交流協會,社會團體,100/04/29,馮涵瑛,已立案,07-2150513,1000109646,801高雄市前金區中華三路217號4樓之1
中華民國殯葬設施經營商業同業公會全國聯合會,職業團體,103/02/06,李世聰,已立案,,,221新北市汐止區東勢街111號4樓
中華文化教育學會,社會團體,091/06/01,孫劍秋,已立案,02-25189798,0910069287,220新北市板橋區華德里四川路二段245巷19弄40號之2號7樓
中華天元聖道開基協會,社會團體,105/09/24,陳鈺豐,已立案,2294-1589,,251新北市淡水區幸福里中正東路40-2號
台灣飛躍棒球發展協會,社會團體,101/10/02,周文毅,已立案,07-7452940,1010327705,830高雄市鳳山區光復路1段112號3樓
中華基督教天虹榮耀福音協會,社會團體,105/08/21,林舒庭,已立案,02-2258-3458、03-3121256,,338桃園市蘆竹區光復路146號7樓之2
台灣社區工作與社區研究學會,社會團體,097/06/28,郭俊巖,已立案,04-26328001轉17203,0970122031,433臺中市沙鹿區中棲路200號(靜宜大學兒福系轉)
台灣高爾夫旅遊協會,社會團體,095/10/16,趙良卿,已立案,02-2581-9589,0950180192,220新北市板橋區光復街38號3樓(該會於106.7.19函報內政部異動備查)
台灣新起點健康促進協會,社會團體,104/04/27,蘇主惠,已立案,02-29743576,1040034751,115臺北市南港區忠孝東路7段487巷7號
台灣張公名旺宗親會,社會團體,104/06/06,張健男,已立案,0921-200-926,1040051246,600嘉義市西區自強街32巷56號(該會於106.5.12函報內政部異動備查)
中華金門公共事務協進會,社會團體,099/07/17,黃炳中,已立案,02-29529668,0990158077,220新北市板橋區中山路1段176之1號4樓
國際洪門台灣婦女總會,社會團體,102/03/08,林麗慧,已立案,02-25583390,1020141741,臺北市延平北路3段62號2樓
中華民國女法官協會,社會團體,084/01/07,許紋華,已立案,02-2314-6871#6387,405878,100臺北市長沙街1段6號
中華民國口腔雷射醫學會,社會團體,089/11/12,洪宏德,已立案,049-2359334,8933893,542南投縣草屯鎮虎山路122號（會址異動經本部106年1月6日同意備查）
台灣越南佛教交流協會,社會團體,106/05/07,張氏清(釋淳淨),已立案,02-22778259,,242新北市新莊區泰順街39巷13之1號
台灣向日葵女子棒球協會,社會團體,103/08/03,林婉蘋,已立案,04-2230-9029,1040028230,406臺中市北屯區九龍街79號
台灣勞工發展協會,社會團體,096/12/14,楊燦輝,已立案,02-29225355,0970007200,234新北市永和區保生路1號19樓之1
中華拙誠國際文化交流協會,社會團體,105/12/25,丁楷,已立案,02-25366621,,104臺北市中山區民權東路一段58巷5號1樓
中華整合行銷傳播協會,社會團體,104/01/10,王福闓,已立案,0921-816360,1040022235,100臺北市中正區杭州南路1段105巷12號3樓
中華音體教育發展協會,社會團體,091/06/02,陳唐娘,已立案,02-25936990,0910025632,251新北市淡水區樹梅坑29號地下1樓
全國關懷科技協會,社會團體,105/09/30,王中彥,已立案,02-66072155,,234新北市永和區中正路412巷20弄14號5樓
中國文化無源慈善會,社會團體,098/12/19,謝涇,已立案,049-238-0962,0990064970,542南投縣草屯鎮土城里三層巷15之51號
台灣美食技術交流協會,社會團體,105/06/25,鄧學凱,已立案,02-25625805,,640雲林縣斗六市八德里引善路198號
台灣肥皂清潔劑工業同業公會,職業團體,037/06/08,吳英偉,已立案,02-27024441,,106臺北市大安區復興南路一段390號9樓
華盟拉力賽車運動推廣協會,社會團體,106/04/29,彭志忠,已立案,02-87710502,1060038884,110臺北市信義區中坡北路13號3樓之1
中華青年發展促進會,社會團體,105/03/29,童福來,已立案,04-22298686,1050025893,403臺中市西區自由路1段101號20樓
臺灣歐洲精品咖啡協會,社會團體,105/08/28,甄啟強,已立案,02-22305865,,104臺北市中山區德惠街16-8號
中華學習障礙協會,社會團體,080/06/02,劉駿,已立案,02-2393-2072,8001162,100臺北市中正區仁愛路一段53號3樓(內政部104.5.13備查在案)
台灣醫療科技整合學會,社會團體,105/06/26,蘇軒,已立案,03-3181820,,106臺北市大安區羅斯福路三段283巷21弄11號3樓
臺灣省松柏盆栽協會,社會團體,087/03/08,李元桂,已立案,037-741096,1030222176,358苗栗縣苑裡鎮蕉埔里9鄰109之1號
臺灣謝氏宗親總會,社會團體,106/03/05,謝土木,已立案,02-29715055,1060034422,241新北市三重區車路頭街24巷5號5樓
中華民國國民健康管理促進協會,社會團體,093/06/11,陸玓玲,已立案,02-26539292#259,0930027785,臺北市忠孝東路6段465號11樓
台灣街頭藝人發展協會,社會團體,092/04/20,張博勇,已立案,04-2471-7187,0920021269,408臺中市南屯區南屯路2段870巷63號2樓之1
中華民國慈心慈善會,社會團體,090/02/25,張寶緞,已立案,07-7657557,9009642,830高雄市鳳山區國隆路1號3樓之2
陸軍第一士官學校領導士官班校友協會,社會團體,104/07/26,張臺生,已立案,03-4093321,,325桃園市龍潭區龍吟街7巷7號
中華民國空軍機械學校常備士官班九十六期同學會,社會團體,103/03/22,胡自立,已立案,04-22951375,1030129825,357苗栗縣通霄鎮中正路69號
臺灣喜福關懷協會,社會團體,102/09/15,陳俊諺,已立案,0933-859394,1020348118,108臺北市萬華區柳州街20號
亞太植牙美容醫學會,社會團體,101/08/19,傅立志,已立案,02-22250488,1010397024,235新北市中和區莒光路45號3樓
中華民國紳士協會,社會團體,081/10/04,王承聘,已立案,02-29278807,8117580,234新北市永和區成功路2段1巷3號(會址異動經本部106年1月18日同意備查)
臺灣產業關聯學會,社會團體,105/12/24,徐世勳,已立案,,,106臺北市大安區羅斯福路4段1號(國立臺灣大學農業經濟學系103室)
中華青年就業啟航協會,社會團體,105/07/30,程遠正,已立案,03-6685082,,320桃園市中壢區環北路398號16樓之ㄧ
中華亞太自主學習協進會,社會團體,105/12/12,康杏生,已立案,,,110臺北市信義區信義路四段415號8樓之2
台灣運動傷害防護學會,社會團體,089/07/05,李恆儒,已立案,03-3283201#2011,8922218,333桃園市龜山區文化一路250號
中華恩感基督文化協會,社會團體,105/05/28,尤國雄,已立案,07-6111352,,825高雄市橋頭區成功南路112號
台灣六桂宗親總會,社會團體,089/08/05,洪允典,已立案,07-281-3161,8924384,800高雄市新興區忠孝一路239巷10號5樓
中華民國金門烈嶼公共事務協會,社會團體,081/12/13,洪肇葉,已立案,02-22467070,8278534,235新北市中和區景平路517號3樓
中華多元智慧人才發展學會,社會團體,095/11/12,徐秀媛,已立案,02-23718833,0960026232,221新北市汐止區康寧街169巷25號4樓之1
臺灣經濟計量學會,社會團體,096/11/24,管中閔,已立案,02-33669873,0960200036,115臺北市南港區研究院路2段128號
台灣省國際獅子會第九聯合會,社會團體,091/07/27,湯富龍,已立案,02-26861000,,220新北市板橋區溪城路105號3樓(300-B2區)
台灣愛爾德社會福利協會,社會團體,106/03/16,賴宏昇,已立案,0968633779,1060030842,248新北市五股區登林路81之51號12樓
中華道教民俗文化學會,社會團體,098/04/08,蔡色芬,已立案,02-23586662,0980081786,357苗栗縣通霄鎮內湖里真武路35巷14號
台灣日本語文學會,社會團體,081/10/11,賴振南,已立案,0919666065,8190375,251新北市淡水區英專路151號淡江大學日本語文學系
台灣同志家庭權益促進會,社會團體,100/04/16,王晴怡,已立案,02-29297086,1000132623,242新北市新莊區新莊路585號5樓
臺灣銀行退休人員協會,社會團體,101/06/20,謝騰隆,已立案,02-2375-2795,1010249954,100臺北市中正區寶慶路35號3樓
台灣卡達交流協會,社會團體,105/07/26,黃愛倫,已立案,0931167871/0982913279,,106臺北市大安區信義路3段3號4樓之3
臺灣醫學會,社會團體,079/09/16,何弘能,已立案,02-2382-1783,8841267,100臺北市中正區常德街1號台大醫院景福會館3樓
中華民國鵪鶉協會,社會團體,097/11/16,曾登芳,已立案,08-7777586,0970217111,913屏東縣萬丹鄉四維村廣維路109巷9號
中華民國淡江大學西班牙語文學系同學會,社會團體,098/06/13,李怡良,已立案,02-26215656*3225,0980147169,251新北市淡水區英專路151號外語大樓FL314室
天賦飛翔教育推廣協會,社會團體,105/10/23,陳亮洲,已立案,02-29239120,,200基隆市仁愛區劉銘傳路76號2樓
中華海峽兩岸產業品牌發展協會,社會團體,105/04/24,周義豐,已立案,02-22562052,,220新北市板橋區民生路2段234號24弄2號2樓
臺灣外籍工作者發展協會,社會團體,102/05/16,徐瑞希,已立案,02-27060897,1020220287,100臺北市中正區忠孝西路一段72號7樓之13
國際生物催化暨農業生物技術學會,社會團體,101/09/21,楊長賢,已立案,07-6577711＃2007,1010332921,402臺中市南區國光路250號
中華民國警察眷屬關懷協會,社會團體,099/04/25,陳秀華,已立案,02-26944528,0990214851,221新北市汐止區民族5街8號12樓之2
臺灣人口學會,社會團體,048/08/16,柯瓊芳,已立案,07-5252000#5662,8927891,804高雄市鼓山區蓮海路70號(中山大學社會學系)(該會於104.9.9函報內政部異動備查)
中華民國人生禪學會,社會團體,094/11/26,楊元照,已立案,04-23760373,0950003912,403臺中市西區大忠南街40號3樓之3
台灣古厝再生協會,社會團體,101/03/25,黃士娟,已立案,02-28961000#5272,1010151229,251新北市淡水區251竿蓁里淡金路10號5樓之5
中華民國國際法學會,社會團體,047/08/10,李念祖,已立案,02-28610511-27001,0970074722,108臺北市萬華區艋舺大道303號第三大樓3A06室
台灣區防火安全建築材料協進會,社會團體,101/12/14,鄭榮城,已立案,02-2924-5520,1020084443,235新北市中和區中和路380號10樓
中華聖偉慈善協會,社會團體,100/03/04,何樹淋,已立案,0226281315,1000060153,252新北市三芝區興華里田心子8-8號（會址異動經本部105年9月8日同意備查）
中華博奕娛樂產業觀光發展協會,社會團體,098/06/28,陳重華,已立案,02-25622588,0980223160,104臺北市中山區林森北路500號5樓
台灣有機農夫市集發展協會,社會團體,101/04/28,謝賢鴻,已立案,04-711-6222,1010201548,500彰化縣彰化市介壽北路75巷3弄1號
中華藝文教學推廣協進會,社會團體,096/01/20,林麗玉,已立案,037-740373,0960025676,358苗栗縣苑裡鎮玉田里國光一巷2號
台灣老年關懷與照顧協會,社會團體,100/01/29,呂奕樞,已立案,02-25535335,1000175517,103臺北市大同區延平北路2段144巷10號10樓
台灣玉井三清慈善協會,社會團體,102/10/06,楊萬生,已立案,06-5746039,1020326966,714臺南市玉井區竹圍里竹圍149之3號
中華全球轉化禱告網絡協會,社會團體,101/12/29,周神助,已立案,02-25328397,1020195762,104臺北市中山區明水路371巷7弄41號B1
台灣區絲織工業同業公會,職業團體,042/12/09,戴宏怡,已立案,02-23917815,,10092臺北市愛國東路22號6樓
台灣有機生活協會,社會團體,097/06/28,呂傳結,已立案,04-2452-8652,0970115048,411臺中市太平區411宜欣二路128號(於104年11月13日函報內政部變更備查)
台灣葡萄樹宣福協會,社會團體,103/09/14,楊明勳,已立案,03-5726839,1030309949,新竹市澤藩路101號
中華產經發展協會,社會團體,094/05/13,李紀珠,已立案,02-23433453,0940021901,100臺北市中正區羅斯福路2段70號11樓
台灣城鄉永續關懷協會,社會團體,104/05/20,林苑玲,已立案,02-26717090,1040040800,237新北市三峽區清水街291號
中華華語文教育發展協會,社會團體,095/08/28,褚家辰,已立案,02-23519887,0950143725,106臺北市大安區復興南路一段89號7樓之2
中華民國慢跑協會,社會團體,099/06/27,吳興傳,已立案,02-2760-6926,0990151187,116臺北市文山區106秀明路2段92巷4號4樓
中華小人物社會關懷教育協會,社會團體,096/04/14,王語涵,已立案,02-7724-0076,0960065444,111臺北市士林區福國路15巷14號6樓
中華民國螢火蟲助學計畫協會,社會團體,105/02/14,廖淑儀,已立案,02-25354696,1050012663,104臺北市中山區明水路387號8樓
中華民國單親家庭關懷協會,社會團體,093/04/04,張家佩,已立案,02-89512127,10A9315894,220新北市板橋區220和平路71之1號1樓
中華民國台灣趙鏞基牧師門徒協會,社會團體,097/05/31,張茂松,已立案,02-29161575,0980025469,231新北市新店區三民路151號
台灣中華醫事科技大學全國校友會,社會團體,101/03/18,周宏儒,已立案,06-2873303,1010154718,717臺南市仁德區文華ㄧ街89號行政大樓1樓
台灣兩岸旅遊通運交流協會,社會團體,091/09/28,盧惠敏,已立案,02-7718-7007,10C9152889,110臺北市信義區110基隆路2段51號4樓之1
國際電子戰協會中華民國總會,社會團體,072/03/26,林勤經,已立案,03-471-2201#353,,325桃園市龍潭區佳安村中正路佳安段四八一號
台灣肖楠保護協會,社會團體,104/12/21,彭培業,已立案,03-3552173,1040097126,330桃園市桃園區330經國路857號7樓之2
中華兩岸寒單爺文化交流協會,社會團體,096/05/01,魏懷良,已立案,03-3318-010,0960077268,330桃園市桃園區泰山街55號1樓
中國舞台劇協會,社會團體,079/04/21,張英,解散,02-2311-5197,794760,臺北市中華路1段106號7樓
台灣讚美操協會,社會團體,095/03/25,李永桐,已立案,02-25172252,0950095327,247新北市蘆洲區247三民路505號5樓
中國基督教宣道協會,社會團體,086/04/13,王學邦,解散,03-531-8055,,新竹市武陵路二七號
中華中山人力資源管理協會,社會團體,094/09/24,陳永安,已立案,00-00000000,0940040903,813高雄市左營區81366裕誠路421號
中華龍華慈善功德會,社會團體,099/09/12,楊長銓,已立案,08-7799360,0990196415,912屏東縣內埔鄉老埤村壽比路104-2號
中華民國老人福利推動聯盟,社會團體,083/02/01,林朝森,已立案,02-25927999,8305285,104臺北市中山區民權西路79號3樓之2
中華民國崇商會,社會團體,082/02/06,吳德純,解散,02-2346-6868#20,,臺北市忠孝東路五段五五Ｏ號三樓
中華道教三陽協會,社會團體,104/03/07,聶玉美,已立案,04-2471888,1040050329,406臺中市北屯區松竹南街6號
中華民國奎山之友會,社會團體,102/05/11,葉光輝,已立案,02-28212009,1020236821,112臺北市北投區明德路200號
中華民國技擊國武術協會,社會團體,100/09/10,顏有宏,已立案,03-3779516,1000203564,334桃園市八德區福德一路92之20號
中華民國文化資產發展協會,社會團體,093/10/17,張繁,已立案,0933-316798,09368471,803高雄市鹽埕區七賢三路98號6樓
台灣婚禮服務交流暨發展協會,社會團體,102/01/03,呂雅惠,已立案,04-23322727,1020097858,413臺中市霧峰區中正路1224巷17弄1號
中華社區品質促進會,社會團體,085/09/01,黃玲娟,已立案,02-2789-3591,8585561,500彰化縣彰化市莿桐里彰鹿路107巷40號3樓
中華海峽兩岸文經互利協進會,社會團體,091/06/29,林南君,已立案,07-3320084,0910022894,802高雄市苓雅區802復興二路3號9樓之2
中華民國美顏養生協會,社會團體,104/01/11,蔡家凱,已立案,07-3351133,1040013514,800高雄市新興區七賢一路426號
台灣排球運動協會,社會團體,096/07/01,白光哲,已立案,02-25598578,0970067557,臺北市敦化南路2段57號18樓之4
中國道教五術法術學會,社會團體,082/05/30,林景源,已立案,07-751-0606,8212903,806高雄市前鎮區和平二路134巷13弄2之1號
台灣漁民勞動人權協會,社會團體,097/03/14,蕭林美燕,已立案,02-24925569,0970059939,207新北市萬里區野柳里港東路24號2樓
中華基督牧者關懷協會,社會團體,102/06/25,曹植茗,已立案,8772-0321,1020280838,臺北市八德路2段203號B2
中華美容彩繪教育協會,社會團體,098/02/14,張鳳玲,已立案,04-7226636,0980077153,500彰化縣彰化市500福成街47號
台灣醫事檢驗學會,社會團體,074/11/02,謝文祥,已立案,02-23697463,0970038917,220新北市板橋區四川路二段239號6樓
台灣遊艇活動發展協會,社會團體,093/04/20,鄭智鴻,已立案,06-299-6565,0930020361,臺南市北安路一段145之1號1樓
台灣休閒事業管理學會,社會團體,088/01/23,吳淑女,已立案,04-852-8469,,515彰化縣大村鄉山腳路一一二號D五一三室
台灣基督教恩約全人轉化協會,社會團體,102/11/09,白恩拾,已立案,02-27128000,1020350736,503彰化縣花壇鄉白沙村觀音巷80弄9-13號
台灣微客公益行動協會,社會團體,101/04/21,沈漾漾,已立案,02-33225103,1010190739,237新北市三峽區大義路213號17樓之1（會址異動經本部105年10月24日同意備查）
中華民國台灣選美協會,社會團體,088/12/15,張勤,解散,02-27517399,,105臺北市松山區光復南路57巷13號1樓
台灣山區救難協會,社會團體,093/10/09,歐陽台生,已立案,02-2249-1234,10A9341534,235新北市中和區景新街132巷13號1樓
中華民國開放系統協會,社會團體,080/03/27,劉勝東,已立案,02-87738131,915976,105臺北市松山區105八德路2段374號5樓之4(105.03.25函報內政部異動備查)
中華民國保健推廣協會,社會團體,087/02/09,劉吉豐,解散,02-2203-5497,,241新北市三重區成功路三十號十四樓之二號
中華民國原住民族髮藝美妝文教協會,社會團體,099/04/16,余秀娥,已立案,0927969699,0990013894,233新北市烏來區忠治里堰堤45號
臺灣衛浴文化協會,社會團體,088/11/20,游明國,已立案,02-27389514,8913518,106臺北市基隆路四段43號建築系RB809
台灣智慧城市聯盟,社會團體,103/09/04,許明財,已立案,(03)5221978,1030309944,300新竹市公道五路2段375號
台灣標竿企業促進會,社會團體,104/02/26,蔡金鏗,已立案,02-23650085,1040016231,106臺北市大安區106羅斯福路3段281號5樓之2
中華兩岸警民交流公益聯盟,社會團體,103/08/31,李振光,已立案,,1030305982,242新北市新莊區新泰路490巷12號10樓
中華民國健行登山會,社會團體,062/06/02,陳慶章,已立案,02-2751-0938,8209061,104臺北市中山區朱崙街20號7樓703室
台灣温氏崑亮公派下宗親會,社會團體,104/08/16,温國台,已立案,03-301-1026,1040063642,305新竹縣新埔鎮照門里九芎湖15-7號
台灣高爾夫運動協會,社會團體,091/05/18,范宰宇,已立案,02-2883-9466,0910071366,111臺北市士林區至善路2段34號
中華樂活協會,社會團體,097/01/04,陳正宗,已立案,02-87871513,0970008524,106臺北市大安區中華樂活協會[106復興南路1段253巷2號9樓之2]
中華民國世新大學觀光學友會,社會團體,099/12/11,劉明雄,已立案,02-25365343,1000031469,105臺北市松山區南京東路4段130號12樓
中國文化大學校友總會,社會團體,096/10/13,唐彥博,已立案,02-2861-5872,0960204781,111臺北市士林區華岡路55號【中國文化大學大恩館2樓值日室】
中華國際身心障礙者生命教育推廣協會,社會團體,103/11/09,劉天富,已立案,02-27099961、27096731,1030329396,106臺北市大安區通化街39巷62弄22號1樓
中華商工產業科技發展協會,社會團體,085/05/25,林志虎,已立案,02-23972136,,106臺北市大安區106安居街98巷14號1樓
台灣客家論壇協會,社會團體,090/12/15,張森富,已立案,02-23626336,0910002441,106臺北市大安區樂業街72巷8號4樓(該會於105.4.13函報內政部異動備查)
中華國際數理文化教育協會,社會團體,105/01/10,盧建民,已立案,07-8228731,1050007425,812高雄市小港區平和南路110號1樓
"INBA TAIWAN中華民國自然健美協會",社會團體,104/05/09,陳榮生,已立案,02-22555007,1040082717,220新北市板橋區文化路2段496號4樓
台灣臺北醫學大學校友總會,社會團體,086/02/15,許庭禎,已立案,,8675714,110臺北市信義區吳興街250號
中華民國珠心算數學協會,社會團體,087/11/19,黃淑惠,已立案,02-2961-1611,8741518,220新北市板橋區重慶路一九０號二樓
台灣遊艇發展研究會,社會團體,101/04/28,黃香,已立案,02-26667522,1010188055,231新北市新店區廣興路5巷15號4樓
台灣數獨發展協會,社會團體,098/05/16,王吉義,已立案,03-5991030,0980114078,303新竹縣湖口鄉中山路3段11巷2號
台灣社會網絡學會,社會團體,103/02/24,王學亮,已立案,07-5919751,1030120237,811高雄市楠梓區高雄大學路700號管理學院303室
國立臺北大學企業管理研究所校友會,社會團體,105/02/18,毛惠玲,已立案,02-87902688,1050016758,114臺北市內湖區南京東路6段85號7樓
中華民國長笛協會,社會團體,085/12/16,樊曼儂,解散,02-2560-1855,,臺北市中山北路二段二０巷十八號三樓
中華民國中央軍事院校校友總會,社會團體,077/09/03,嚴明,已立案,02-2505-8699,8511107,104臺北市中山區民生東路2段176號9樓
台灣基督徒見證協會,社會團體,092/11/02,莊育銘,已立案,02-2626-7454,0930065709,251新北市淡水區學府路36號4樓
中華閩南文化研究會,社會團體,092/03/01,黃素梅,已立案,02-8631-0157,0920011519,104臺北市中山區臺北市中山區興安街63號5樓之3
中華測繪聯合會,社會團體,101/02/11,王啟鋒,已立案,02-26433892,1010127711,221新北市汐止區新台5路1段159號5樓之4
中華財經策略協會,社會團體,090/10/07,梁啟源,已立案,02-2739-5413,9034975,106臺北市大安區106長興街75號
中華民國觀音香功協會,社會團體,088/06/27,黃馨慧,已立案,04-2422-1567,8885103,402臺中市南區402永和里南和一街6巷9號7樓之1
中華病患服務人員交流協會,社會團體,091/01/12,林俊安,已立案,03-284-2718,0910004038,335桃園市大溪區中正路51號
中華民國真龍化境能量研究協會,社會團體,096/11/11,蕭豐謙,已立案,05-2236113,0970007531,600嘉義市西區福全里9鄰北港路73號
中華民國就業服務專業人員協會,社會團體,094/05/28,祝偉國,已立案,02-27001498,0940069895,106臺北市大安區復興南路2段237號12樓17室
中華地方美學建築協會,社會團體,097/06/08,蕭百興,已立案,,0970123159,235新北市中和區連勝街43號1樓
中華神經語言程式學組織協會,社會團體,098/11/04,徐玲媚,已立案,06-3507264,0980222173,704臺南市北區文成路737號3樓
中華阿貲達顯密佛學會,社會團體,092/02/28,堪力仁,已立案,02-25865928,0920074271,臺北市酒泉街54號5樓
中華民國馬拉松協會,社會團體,087/09/12,盧瑞山,已立案,02-87536205,1020376682,231新北市新店區231中興路2段100巷17號1樓
中國休閒教育推展協會,社會團體,082/05/01,孫慶國,已立案,02-2362-6494,8211287,臺北市羅斯福路3段281號9樓之1
中華民國音樂工作者協會,社會團體,083/05/16,方世銘,解散,02-2357-6978,,臺北市仁愛路二段十一號三樓
中華真武道宗協進會,社會團體,099/11/14,羅文桂,已立案,0926151952,0990234244,541南投縣中寮鄉永福村竹坑巷16號之1
中華民國新娘彩妝美容美髮秘書協會,社會團體,098/06/20,張玄寅,已立案,07-3451698,0980174188,813高雄市左營區政德路422號7樓
中華民國紙製品發展協會,社會團體,083/08/20,陳秋源,已立案,02-2561-4428,,臺北市吉林路218巷14號1樓
中華創意教學推廣協會,社會團體,102/09/15,謝采芳,已立案,02-29233178,1020322789,234新北市永和區中山路一段28巷2號5樓(104.12.04報內政部備查)
中華民國洋蘭推廣協會,社會團體,086/05/24,蔡榮安,解散,07-382-2246,台(86)內社字第8681370號,807高雄市三民區昭良街一號
台灣區磁磚發展協會,社會團體,096/01/05,林則彬,已立案,02-25116961,0960015871,臺北市長春路89-9號
中華民國禮品包裝藝術學會,社會團體,081/01/12,許新鳳,解散,02-2225-8088,,235新北市中和區中山路二段五二六巷二二號五樓
台灣肢體力學平衡發展協會,社會團體,095/09/16,涂德惠,已立案,05-2238279,0950159829,600嘉義市西區嘉義市蘭井街369號
新加坡神學院台灣校友會,社會團體,097/06/28,黃寶琴,已立案,02-26600418,0970134175,221新北市汐止區林森街31號2樓
臺灣營建及結構工程技術學會,社會團體,096/09/01,呂學榮,已立案,02-25455405,0970032357,105臺北市松山區復興北路181號9樓之2
中華民國兩岸教學研究學會,社會團體,093/04/25,謝如山,已立案,02-27618695,0930073260,105臺北市松山區三民路96巷23號1樓
台灣觀賞魚養殖協會,社會團體,090/10/27,林修斌,已立案,07-3641598,09000394810,811高雄市楠梓區翠屏里39鄰德賢路20號
中華基督教天品福音促進協會,社會團體,093/06/07,任治平,已立案,02-2378-0007,10C9352890,臺北市基隆路2段145號6樓
中華民國社會保險權益促進會,社會團體,095/12/03,江澤佑,已立案,03-4570468,0950200178,320桃園市中壢區龍岡路3段269號2樓
中華民國自行車協會,社會團體,098/05/23,李哲欽,已立案,02-29350205,0980113311,116臺北市文山區景福街145號1樓
台灣中國醫藥大學校友會全國總會,社會團體,098/01/08,張峰鳴,已立案,04-22121072,0980050851,臺中市旱溪西路1段187-2號
台灣國際語文教育協會,社會團體,089/04/15,陳瑞財,已立案,02-2593-1802,8916200,236新北市土城區延安街39巷6號4樓
中華民國道真法門勤桐慈善公益協會,社會團體,096/09/30,王羚蓉,已立案,,0960157260,813高雄市左營區海明街61號4樓
台灣巴基斯坦社會福利關懷協會,社會團體,103/09/20,羅阿里,已立案,0953850940,1030331352,327桃園市新屋區後湖里後湖1-1號
中華民國傷殘自救協會,社會團體,085/05/18,鄭明仁,解散,06-2316-931,,台南縣永康市成功路二０四巷三三號
中華活出美好關懷協會,社會團體,103/11/09,張恩香,已立案,0933103901,1040004637,臺北市復興北路193號地下一層
台灣粉條兒文化協會,社會團體,097/06/25,陳師孟,已立案,02-2557-3190,0970145304,103臺北市大同區錦西街74-1號
台灣BUNUN布農協會,社會團體,097/07/26,烏瑪芙巴刺拉芾,已立案,049-2791990,0970152915,臺北市康寧路三段99巷17弄93號2樓
永久和平發展協會,社會團體,092/09/10,黃馨主,已立案,02-8787-6003分機25,0920038954,105臺北市松山區南京東路5段15之8號9樓
中華道教發展協會,社會團體,091/12/08,陳俊安,解散,03-318-2221,0920003689,244新北市林口區忠孝路616巷25號
台灣理財規劃產業發展促進會,社會團體,100/02/19,廖一聰,已立案,02-87715958,1000045824,106臺北市大安區忠孝東路4段221號10樓
中華民國救難搜索犬協會,社會團體,089/02/19,王盈萍,已立案,02-2883-9466,,111臺北市士林區至善路二段三四號
中華國際文化教育交流協會,社會團體,101/05/31,郭文鴻,已立案,06-3128507,1010235094,710臺南市永康區中華路1之127號19樓
中華佛教密乘噶瑪噶舉協會,社會團體,083/01/09,紀正良,已立案,06-2934318,,708臺南市安平區永華十二街16號
中華綠色產業聯盟暨文化交流協會,社會團體,104/03/03,陳良沛,已立案,07-3331737,1040021605,806高雄市前鎮區一心一路241號3樓
中華海峽兩岸產業資訊化合作促進會,社會團體,099/06/09,馮定國,已立案,02-23121707,0990139652,108臺北市萬華區漢口街2段55號7樓之3
中華民國普庵禪寺弘道協會,社會團體,103/05/19,游志德,已立案,04-22374503,1030192403,406臺中市北屯區崇德路2段55號6樓之1
中華民國亞太商務促進會,社會團體,086/12/01,陳春霖,已立案,02-2762-6488,8780171,105臺北市松山區臺北市東興路12號2樓
中華易宗岳內家武學研究發展學會,社會團體,094/05/22,陳韶泉,已立案,02-2828-6981,0940069790,112臺北市北投區立農街2段259號5樓
中華民國寶塔墓園管理發展協進會,社會團體,086/08/20,劉偉龍,已立案,02-28973339,,104臺北市民權東路2段166號
中華先天大道自性佛法門學會,社會團體,095/07/09,吳金甫,已立案,06-2350436,0950142464,701臺南市東區東門路2段299號6樓C室
中華室內環境檢測協會,社會團體,094/08/19,江守山,已立案,02-28805020轉108,0940036290,111臺北市士林區大南路361號5樓之2
台灣愛田關懷協會,社會團體,104/09/11,李桂英,已立案,02-86861474,1040081451,238新北市樹林區東榮街89號（會址變更經本部105年10月18日同意備查）
中華民國學生棒球運動聯盟,社會團體,092/08/28,郭明賓(會長),已立案,02-2567-3609*39,0920034812,104臺北市中山區南京東路2段58號10樓
台灣國際神學福音佈道會,社會團體,098/02/22,韓樹大,已立案,02-27133769,0980069834,105臺北市松山區民生東路三段113巷25弄29號1樓
中華全方位養生協會,社會團體,096/12/22,童詩惠,已立案,02-23310988,0970018758,108臺北市萬華區108長沙街2段91號8樓
海峽兩岸感動交流協會,社會團體,104/12/27,謝潮儀,已立案,,1050004844,106臺北市大安區光復南路294巷21號3樓
中華民國聲暉聯合會,社會團體,087/02/01,陳進豐,已立案,04-25312684,8707201,427臺中市潭子區中山路1段185巷1號
美國密西根大學台灣校友會,社會團體,093/12/26,陳景星,已立案,02-27945003,0940065803,114臺北市內湖區行愛路140巷27號5樓
中華民國心晴協會,社會團體,093/11/14,羅浚晅,已立案,0920-149902,0930046910,234新北市永和區竹林路27號
中華民國六房媽會,社會團體,096/01/06,吳錦宗,已立案,0932-969949,0960034005,630雲林縣斗南鎮中興路97號
中華國際藝術推廣交流協會,社會團體,103/03/29,羅旭彰,已立案,0955380867,1030168474,220新北市板橋區民生路二段234巷2弄13號5樓
中華青少年教育學會,社會團體,081/06/14,吳清山,解散,02-2311-5585,,臺北市愛國西路一號
中華幸福家庭教育發展協會,社會團體,103/12/28,吳孟玲,已立案,0955692520,1040026538,100臺北市中正區羅斯福路2段14號二樓
中華民國頌恩關懷協會,社會團體,087/12/25,王宣,解散,02-2871-6452,,臺北市中山北路七段十四巷二九之十一號四樓
